City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Yar-Sale,RU,66.8333,70.8333,39.16,73,92,12.77,overcast clouds
294,Iqaluit,CA,63.7506,-68.5145,15.53,66,75,21.85,broken clouds
295,Nerchinskiy Zavod,RU,51.3088,119.61,68.29,26,8,0.92,clear sky
296,Hasaki,JP,35.7333,140.8333,73.29,71,47,8.93,scattered clouds
297,Chililabombwe,ZM,-12.3648,27.8229,53.02,54,0,3.87,clear sky
298,Portland,US,45.5234,-122.6762,75.96,53,75,5.01,broken clouds
299,Morgan Hill,US,37.1305,-121.6544,92.55,37,0,16.11,clear sky
300,Dwarka,IN,22.2394,68.9678,81.5,80,6,15.99,clear sky
301,Severo-Kurilsk,RU,50.6789,156.125,41.0,92,100,5.39,overcast clouds
302,Atar,MR,20.5169,-13.0499,92.82,14,75,4.36,broken clouds
303,Inta,RU,66.0317,60.1659,52.95,67,100,23.44,overcast clouds
304,Jian,CN,27.1172,114.9793,71.65,97,98,5.77,moderate rain
305,Zhoucheng,CN,35.9122,116.3117,71.4,25,100,5.95,overcast clouds
306,Rawlins,US,41.7911,-107.2387,68.36,21,0,18.41,clear sky
307,Pec,XK,42.6591,20.2883,64.33,39,29,6.62,scattered clouds
308,Helong,CN,42.5397,128.9972,47.75,91,100,3.0,overcast clouds
309,Karema,TZ,-6.8205,30.4389,70.84,74,82,2.19,broken clouds
310,Uruzgan,AF,32.8333,66.0,69.82,12,26,6.76,scattered clouds
311,Alihe,CN,50.5667,123.7167,70.88,32,78,2.24,broken clouds
312,Bardiyah,LY,31.7561,25.0865,70.02,58,0,3.69,clear sky
313,Sao Filipe,CV,14.8961,-24.4956,71.13,80,5,8.5,clear sky
314,Te Anau,NZ,-45.4167,167.7167,43.12,77,10,0.96,clear sky
315,Mercedes,AR,-34.6515,-59.4307,44.78,85,88,4.63,overcast clouds
316,Grand Junction,US,39.0639,-108.5507,80.31,14,0,11.5,clear sky
317,Alyangula,AU,-13.8483,136.4192,81.03,61,15,10.94,few clouds
318,Meulaboh,ID,4.1363,96.1285,76.77,84,96,5.28,overcast clouds
319,Rocha,UY,-34.4833,-54.3333,51.57,94,100,13.09,overcast clouds
320,Tres Picos,MX,15.8667,-93.5333,84.07,73,100,7.36,overcast clouds
321,Ust-Nera,RU,64.5667,143.2,46.54,60,100,8.01,overcast clouds
322,Blizhne-Pesochnoye,RU,55.3456,42.1015,38.8,88,96,6.42,overcast clouds
323,Mandalgovi,MN,45.7625,106.2708,61.09,16,3,10.13,clear sky
324,Kankon,IN,15.0167,74.0167,82.2,85,100,9.8,overcast clouds
325,Polaniec,PL,50.4332,21.2812,52.92,97,75,1.01,broken clouds
326,Leshukonskoye,RU,64.8989,45.7622,43.07,96,100,6.98,overcast clouds
327,Lompoc,US,34.6391,-120.4579,73.0,59,0,11.5,clear sky
328,Shatsk,RU,54.0258,41.7119,41.52,66,90,7.27,overcast clouds
329,Adrar,MR,20.5022,-10.0711,88.43,13,1,8.48,clear sky
330,Esperance,AU,-33.8667,121.9,57.9,77,59,8.39,broken clouds
331,Laiyang,CN,36.9758,120.7136,69.28,30,3,12.48,clear sky
332,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,73.42,73,58,2.84,broken clouds
333,Okato,NZ,-39.2,173.8833,59.92,100,57,5.97,broken clouds
334,Coquimbo,CL,-29.9533,-71.3436,55.13,100,0,4.61,clear sky
335,Tautira,PF,-17.7333,-149.15,79.63,71,40,9.78,scattered clouds
336,Sinnamary,GF,5.3833,-52.95,78.76,87,11,8.28,few clouds
337,Camana,PE,-16.6228,-72.7111,63.75,83,29,5.35,scattered clouds
338,Wellington,NZ,-41.2866,174.7756,52.07,83,100,14.97,overcast clouds
339,Fukue,JP,32.6881,128.8419,66.56,100,75,5.75,broken clouds
340,Broome,US,42.2506,-75.833,70.2,56,98,5.99,overcast clouds
341,Laredo,US,27.5064,-99.5075,84.49,45,0,5.75,clear sky
342,Bereda,ES,43.2686,-7.5406,51.58,99,28,4.45,scattered clouds
343,Mazagao,BR,-0.115,-51.2894,78.85,96,6,3.49,clear sky
344,Balvi,LV,57.1313,27.2658,54.39,82,100,2.8,overcast clouds
345,Sarakhs,IR,36.5449,61.1577,73.6,35,0,13.6,clear sky
346,San Andres,CO,12.5847,-81.7006,80.62,89,75,11.5,broken clouds
